file,row_key,column,value,mt_ids,unresolved_tokens,out_of_scope_tokens,denylist_hits
buildings-interiors-containers/buildings/building_parts.csv,bp_wall_crowns,default_material,mat_log_crown,mt_wood_pine;mt_wood_spruce,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_partition_log,default_material,mat_log_crown,mt_wood_pine;mt_wood_spruce,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_caulk_moss,default_material,mat_moss,mt_moss,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_sill,default_material,mat_sill_log,mt_wood_pine;mt_wood_oak,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_floor_plank,default_material,mat_plank_hewn,mt_wood_pine;mt_wood_spruce,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_floor_split,default_material,mat_plank_split,mt_wood_pine;mt_wood_spruce,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_floor_earth,default_material,mat_earth,mt_earth,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_ceiling_beam,default_material,mat_log_conifer,mt_wood_pine;mt_wood_spruce,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_roof_gable,default_material,mat_roof_tes,mt_wood_pine;mt_wood_spruce,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_roof_underlay_bark,default_material,mat_birch_bark,mt_birch_bark,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_roof_turf,default_material,mat_turf,mt_turf,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_door_plank,default_material,mat_plank_hewn,mt_wood_pine;mt_wood_spruce,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_door_bar,default_material,mat_hardwood_bar,mt_wood_oak,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_door_hinge_iron,default_material,mat_iron_hinge,mt_iron,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_window_volok,default_material,mat_plank_hewn,mt_wood_pine;mt_wood_spruce,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_window_shutter,default_material,mat_plank_hewn,mt_wood_pine;mt_wood_spruce,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_window_glazed,default_material,mat_glass_fragment,mt_glass,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_stove_clay,default_material,mat_clay,mt_clay,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_stove_stone_clay,default_material,mat_hearth_stone,mt_fieldstone,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_stove_base,default_material,mat_clay,mt_clay,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_smoke_path,default_material,mat_plank_hewn,mt_wood_pine;mt_wood_spruce,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_kamenka,default_material,mat_hearth_stone,mt_fieldstone,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_hearth_open,default_material,mat_hearth_stone,mt_fieldstone,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_bench_builtin,default_material,mat_plank_hewn,mt_wood_pine;mt_wood_spruce,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_sleep_platform,default_material,mat_plank_hewn,mt_wood_pine;mt_wood_spruce,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_shelf,default_material,mat_plank_hewn,mt_wood_pine;mt_wood_spruce,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_peg,default_material,mat_wood_peg,mt_wood_generic,,,
buildings-interiors-containers/buildings/building_parts.csv,bp_porch,default_material,mat_plank_split,mt_wood_pine;mt_wood_spruce,,,
