profile_id,profile_name_ru,region_id,role_id,occupation_id,context,base_role_ids,entry_id,wp_id,category_id,slot_key,required,weight,weight_basis,source_refs,confidence,status
eq_druzhinnik_field,дружинник в походе и бою,region_novgorod_land,nov_role_princely_druzhinnik,nov_occ_druzhina_warrior,field,,eq_druzhinnik_field__01,wp_spear,cat_item_object_spear_v1,main_hand,true,8,базовый набор: копьё,bible:§11 Роль №7 — дружинник | bible:§19 Матрица персонажа | lit:kirpichnikov_1971_ratnoe,B,candidate
eq_druzhinnik_field,дружинник в походе и бою,region_novgorod_land,nov_role_princely_druzhinnik,nov_occ_druzhina_warrior,field,,eq_druzhinnik_field__02,wp_sword,cat_item_object_sword_v1,belt_left,true,8,базовый набор: меч,bible:§11 Роль №7 — дружинник | bible:§19 Матрица персонажа | lit:kirpichnikov_1971_ratnoe,B,candidate
eq_druzhinnik_field,дружинник в походе и бою,region_novgorod_land,nov_role_princely_druzhinnik,nov_occ_druzhina_warrior,field,,eq_druzhinnik_field__03,wp_sword_scabbard,cat_container_form_sword_scabbard_v1,belt_left,true,8,принадлежность меча,bible:§11 Роль №7 — дружинник | bible:§19 Матрица персонажа | lit:kirpichnikov_1971_ratnoe,B,candidate
eq_druzhinnik_field,дружинник в походе и бою,region_novgorod_land,nov_role_princely_druzhinnik,nov_occ_druzhina_warrior,field,,eq_druzhinnik_field__04,wp_sword_belt,cat_item_object_sword_belt_v1,belt,true,8,оружейная подвеска,bible:§11 Роль №7 — дружинник | bible:§19 Матрица персонажа | lit:kirpichnikov_1971_ratnoe,B,candidate
eq_druzhinnik_field,дружинник в походе и бою,region_novgorod_land,nov_role_princely_druzhinnik,nov_occ_druzhina_warrior,field,,eq_druzhinnik_field__05,wp_knife,cat_item_object_utility_knife_v1,belt,true,8,базовый набор: поясной нож,bible:§11 Роль №7 — дружинник | bible:§19 Матрица персонажа | lit:kirpichnikov_1971_ratnoe,B,candidate
eq_druzhinnik_field,дружинник в походе и бою,region_novgorod_land,nov_role_princely_druzhinnik,nov_occ_druzhina_warrior,field,,eq_druzhinnik_field__06,wp_shield_almond,cat_item_object_shield_v1,off_hand,true,8,щит миндалевидный (матрица: копьё + меч + щит),bible:§11 Роль №7 — дружинник | bible:§19 Матрица персонажа | lit:kirpichnikov_1971_ratnoe,B,candidate
eq_druzhinnik_field,дружинник в походе и бою,region_novgorod_land,nov_role_princely_druzhinnik,nov_occ_druzhina_warrior,field,,eq_druzhinnik_field__07,wp_mail_shirt,cat_item_object_mail_armour_v1,body,false,4,кольчуга — хороший основной вариант,bible:§11 Роль №7 — дружинник | bible:§19 Матрица персонажа | lit:kirpichnikov_1971_ratnoe,B,candidate
eq_druzhinnik_field,дружинник в походе и бою,region_novgorod_land,nov_role_princely_druzhinnik,nov_occ_druzhina_warrior,field,,eq_druzhinnik_field__08,wp_padded,cat_item_object_underarmour_v1,under_body,false,2,возможен плотный слой под кольчугой,bible:§11 Роль №7 — дружинник | bible:§19 Матрица персонажа | lit:kirpichnikov_1971_ratnoe,B,candidate
eq_druzhinnik_field,дружинник в походе и бою,region_novgorod_land,nov_role_princely_druzhinnik,nov_occ_druzhina_warrior,field,,eq_druzhinnik_field__09,wp_helmet_spheroconical,cat_item_object_helmet_v1,head,false,4,хороший шлем дружинника,bible:§11 Роль №7 — дружинник | bible:§19 Матрица персонажа | lit:kirpichnikov_1971_ratnoe,B,candidate
eq_druzhinnik_field,дружинник в походе и бою,region_novgorod_land,nov_role_princely_druzhinnik,nov_occ_druzhina_warrior,field,,eq_druzhinnik_field__10,wp_helmet_conical,cat_item_object_helmet_v1,head,false,2,шлем XII–первой половины XIII в.,bible:§11 Роль №7 — дружинник | bible:§19 Матрица персонажа | lit:kirpichnikov_1971_ratnoe,B,candidate
eq_druzhinnik_field,дружинник в походе и бою,region_novgorod_land,nov_role_princely_druzhinnik,nov_occ_druzhina_warrior,field,,eq_druzhinnik_field__11,wp_helmet_liner,cat_item_object_helmet_liner_v1,head_under,false,4,функционально обязателен при шлеме,bible:§11 Роль №7 — дружинник | bible:§19 Матрица персонажа | lit:kirpichnikov_1971_ratnoe,B,candidate
eq_druzhinnik_field,дружинник в походе и бою,region_novgorod_land,nov_role_princely_druzhinnik,nov_occ_druzhina_warrior,field,,eq_druzhinnik_field__12,wp_barmitsa,cat_item_object_aventail_v1,neck,false,2,бармица допустима при соответствующем шлеме,bible:§11 Роль №7 — дружинник | bible:§19 Матрица персонажа | lit:kirpichnikov_1971_ratnoe,B,candidate
eq_druzhinnik_field,дружинник в походе и бою,region_novgorod_land,nov_role_princely_druzhinnik,nov_occ_druzhina_warrior,field,,eq_druzhinnik_field__13,wp_shield_triangular,cat_item_object_shield_v1,off_hand,false,2,ранняя треугольная форма допустима,bible:§11 Роль №7 — дружинник | bible:§19 Матрица персонажа | lit:kirpichnikov_1971_ratnoe,B,candidate
eq_druzhinnik_field,дружинник в походе и бою,region_novgorod_land,nov_role_princely_druzhinnik,nov_occ_druzhina_warrior,field,,eq_druzhinnik_field__14,wp_lance,cat_item_object_lance_v1,main_hand,false,2,конный дружинник,bible:§11 Роль №7 — дружинник | bible:§19 Матрица персонажа | lit:kirpichnikov_1971_ratnoe,B,candidate
eq_druzhinnik_field,дружинник в походе и бою,region_novgorod_land,nov_role_princely_druzhinnik,nov_occ_druzhina_warrior,field,,eq_druzhinnik_field__15,wp_battle_axe,cat_item_object_combat_axe_v1,belt,false,2,допустим,bible:§11 Роль №7 — дружинник | bible:§19 Матрица персонажа | lit:kirpichnikov_1971_ratnoe,B,candidate
eq_druzhinnik_field,дружинник в походе и бою,region_novgorod_land,nov_role_princely_druzhinnik,nov_occ_druzhina_warrior,field,,eq_druzhinnik_field__16,wp_mace,cat_item_object_mace_v1,belt,false,1,редко,bible:§11 Роль №7 — дружинник | bible:§19 Матрица персонажа | lit:kirpichnikov_1971_ratnoe,B,candidate
