id	name_ru	name_lat	name_en	group	life_form	habitats	vis	flow	fruit	winter_look	cues	uses	tox	look	edib	yield	refs	conf	ev	notes
fl_hb_phleum_pratense	тимофеевка луговая	Phleum pratense	timothy	grass	perennial_grass	MEADOW:4 PASTURE:2	5-10	6-7	7-8		плотный цилиндрический колос-«султан» на высоком стебле	корм;сено			none	охапка	gbif wiki wk:claim:harvest-sickle-crops-grasses wk:claim:livestock-rumen-forage-digestion	C	современный ареал; луговые злаки как класс — WK
fl_hb_dactylis_glomerata	ежа сборная	Dactylis glomerata	cock's-foot	grass	perennial_grass	MEADOW:4 EDGE:2	5-10	6-7	7-8		грубые сизые кочки, метёлка собрана в плотные клубочки	корм;сено			none	охапка	gbif wiki wk:claim:livestock-rumen-forage-digestion	C	современный ареал
fl_hb_festuca_pratensis	овсяница луговая	Festuca pratensis	meadow fescue	grass	perennial_grass	MEADOW:4 PASTURE:2	5-10	6-7	7-8		мягкая сочная трава с поникающей метёлкой	корм;сено			none	охапка	gbif wiki wk:claim:livestock-rumen-forage-digestion	C	современный ареал
fl_hb_festuca_rubra	овсяница красная	Festuca rubra	red fescue	grass	perennial_grass	PASTURE:4 MEADOW:2	5-10	6-7	7-8		тонкие щетиновидные листья, рыжеватые метёлки, плотная дернина	корм			none	охапка	gbif wiki	C	современный ареал
fl_hb_poa_pratensis	мятлик луговой	Poa pratensis	smooth meadow-grass	grass	perennial_grass	MEADOW:4 PASTURE:4 RUDERAL:2	4-10	5-6	6-7		раскидистая пирамидальная метёлка, плотная дернина	корм;сено			none	охапка	gbif wiki wk:claim:fauna-mammals-ruminant-grazing-selectivity	C	современный ареал
fl_hb_poa_annua	мятлик однолетний	Poa annua	annual meadow-grass	grass	annual_grass	TRAMPLED:8 RUDERAL:4	4-11	4-10	5-10		низкая светло-зелёная травка между камнями и в колеях	корм			none	горсть	gbif wiki	C	современный ареал; вытоптанные места
fl_hb_deschampsia_cespitosa	щучка дернистая	Deschampsia cespitosa	tufted hair-grass	grass	perennial_grass	WETMEADOW:8 MEADOW:4 PASTURE:4 EDGE:2	1-12	6-7	7-8	сухие соломенные кочки торчат из снега	жёсткие режущие кочки, облако серебристых метёлок	грубый корм;подстилка			none	охапка	gbif wiki	C	современный ареал	кочки мешают косьбе
fl_hb_calamagrostis_epigejos	вейник наземный	Calamagrostis epigejos	wood small-reed	grass	perennial_grass	EDGE:4 PINEDRY:2 MARGIN:2	1-12	7-8	8-9	сухие бурые стебли с метёлками стоят над снегом	высокие жёсткие стебли, густые пушистые метёлки на гарях и вырубках	подстилка;кровля (грубая)			none	охапка	gbif wiki	C	современный ареал
fl_hb_calamagrostis_canescens	вейник сероватый	Calamagrostis canescens	purple small-reed	grass	perennial_grass	FEN:4 WETMEADOW:4	1-12	7-8	8-9	сухие стебли в снегу по краю болота	густые заросли тонких стеблей на сырых местах	подстилка			none	охапка	gbif wiki	C	современный ареал
fl_hb_agrostis_capillaris	полевица тонкая	Agrostis capillaris	common bent	grass	perennial_grass	PASTURE:4 MEADOW:4 EDGE:2	5-10	6-8	7-9		лёгкая фиолетоватая дымка раскидистых метёлок	корм			none	охапка	gbif wiki	C	современный ареал
