fd_id,month,availability,basis,source_refs,confidence,status
fd_water_well,1,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0001:jan""]",B,candidate
fd_water_well,2,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0001:feb""]",B,candidate
fd_water_well,3,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0001:mar""]",B,candidate
fd_water_well,4,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0001:apr""]",B,candidate
fd_water_well,5,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0001:may""]",B,candidate
fd_water_well,6,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0001:jun""]",B,candidate
fd_water_well,7,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0001:jul""]",B,candidate
fd_water_well,8,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0001:aug""]",B,candidate
fd_water_well,9,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0001:sep""]",B,candidate
fd_water_well,10,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0001:oct""]",B,candidate
fd_water_well,11,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0001:nov""]",B,candidate
fd_water_well,12,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0001:dec""]",B,candidate
fd_water_river,1,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0002:jan""]",B,candidate
fd_water_river,2,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0002:feb""]",B,candidate
fd_water_river,3,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0002:mar""]",B,candidate
fd_water_river,4,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0002:apr""]",B,candidate
fd_water_river,5,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0002:may""]",B,candidate
fd_water_river,6,common,year_round,"[""sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0002:jun""]",B,candidate
