category_id,domain,facet,stable_code,parent_category_id,name_ru,name_en,region_id,origin,source_domain_file,status
cat_flora_woody,flora,growth_group,flora.woody,,Древесные растения,Woody plants,,game_base_v1:flora-trees-shrubs,data/world-catalogs/novgorod/game-base-v1/flora-trees-shrubs/flora/woody_categories.csv,candidate
cat_flora_woody_tree,flora,life_form,flora.woody.tree,cat_flora_woody,дерево,tree,,game_base_v1:flora-trees-shrubs,data/world-catalogs/novgorod/game-base-v1/flora-trees-shrubs/flora/woody_categories.csv,candidate
cat_flora_woody_small_tree,flora,life_form,flora.woody.small_tree,cat_flora_woody,небольшое дерево,small tree,,game_base_v1:flora-trees-shrubs,data/world-catalogs/novgorod/game-base-v1/flora-trees-shrubs/flora/woody_categories.csv,candidate
cat_flora_woody_shrub,flora,life_form,flora.woody.shrub,cat_flora_woody,кустарник,shrub,,game_base_v1:flora-trees-shrubs,data/world-catalogs/novgorod/game-base-v1/flora-trees-shrubs/flora/woody_categories.csv,candidate
cat_flora_woody_dwarf_shrub,flora,life_form,flora.woody.dwarf_shrub,cat_flora_woody,кустарничек,dwarf shrub,,game_base_v1:flora-trees-shrubs,data/world-catalogs/novgorod/game-base-v1/flora-trees-shrubs/flora/woody_categories.csv,candidate
cat_flora_woody_tree_pinus_sylvestris,flora,taxon,flora.woody.tree.pinus_sylvestris,cat_flora_woody_tree,сосна обыкновенная,Scots pine (Pinus sylvestris),,game_base_v1:flora-trees-shrubs,data/world-catalogs/novgorod/game-base-v1/flora-trees-shrubs/flora/woody_categories.csv,candidate
cat_flora_woody_tree_picea_abies,flora,taxon,flora.woody.tree.picea_abies,cat_flora_woody_tree,ель европейская,Norway spruce (Picea abies),,game_base_v1:flora-trees-shrubs,data/world-catalogs/novgorod/game-base-v1/flora-trees-shrubs/flora/woody_categories.csv,candidate
cat_flora_woody_tree_betula_pendula,flora,taxon,flora.woody.tree.betula_pendula,cat_flora_woody_tree,берёза повислая (бородавчатая),silver birch (Betula pendula),,game_base_v1:flora-trees-shrubs,data/world-catalogs/novgorod/game-base-v1/flora-trees-shrubs/flora/woody_categories.csv,candidate
cat_flora_woody_tree_betula_pubescens,flora,taxon,flora.woody.tree.betula_pubescens,cat_flora_woody_tree,берёза пушистая,downy birch (Betula pubescens),,game_base_v1:flora-trees-shrubs,data/world-catalogs/novgorod/game-base-v1/flora-trees-shrubs/flora/woody_categories.csv,candidate
cat_flora_woody_tree_populus_tremula,flora,taxon,flora.woody.tree.populus_tremula,cat_flora_woody_tree,осина,aspen (Populus tremula),,game_base_v1:flora-trees-shrubs,data/world-catalogs/novgorod/game-base-v1/flora-trees-shrubs/flora/woody_categories.csv,candidate
cat_flora_woody_tree_alnus_glutinosa,flora,taxon,flora.woody.tree.alnus_glutinosa,cat_flora_woody_tree,ольха чёрная (клейкая),black alder (Alnus glutinosa),,game_base_v1:flora-trees-shrubs,data/world-catalogs/novgorod/game-base-v1/flora-trees-shrubs/flora/woody_categories.csv,candidate
cat_flora_woody_tree_alnus_incana,flora,taxon,flora.woody.tree.alnus_incana,cat_flora_woody_tree,ольха серая,grey alder (Alnus incana),,game_base_v1:flora-trees-shrubs,data/world-catalogs/novgorod/game-base-v1/flora-trees-shrubs/flora/woody_categories.csv,candidate
cat_flora_woody_tree_tilia_cordata,flora,taxon,flora.woody.tree.tilia_cordata,cat_flora_woody_tree,липа мелколистная (сердцевидная),small-leaved lime (Tilia cordata),,game_base_v1:flora-trees-shrubs,data/world-catalogs/novgorod/game-base-v1/flora-trees-shrubs/flora/woody_categories.csv,candidate
cat_flora_woody_tree_quercus_robur,flora,taxon,flora.woody.tree.quercus_robur,cat_flora_woody_tree,дуб черешчатый,pedunculate oak (Quercus robur),,game_base_v1:flora-trees-shrubs,data/world-catalogs/novgorod/game-base-v1/flora-trees-shrubs/flora/woody_categories.csv,candidate
cat_flora_woody_tree_fraxinus_excelsior,flora,taxon,flora.woody.tree.fraxinus_excelsior,cat_flora_woody_tree,ясень обыкновенный,common ash (Fraxinus excelsior),,game_base_v1:flora-trees-shrubs,data/world-catalogs/novgorod/game-base-v1/flora-trees-shrubs/flora/woody_categories.csv,candidate
cat_flora_woody_tree_ulmus_glabra,flora,taxon,flora.woody.tree.ulmus_glabra,cat_flora_woody_tree,"вяз шершавый (ильм, вяз горный)",wych elm (Ulmus glabra),,game_base_v1:flora-trees-shrubs,data/world-catalogs/novgorod/game-base-v1/flora-trees-shrubs/flora/woody_categories.csv,candidate
