src_id,kind,reliability,title,url,locator_note
src_kolchin_1968,scholarly_monograph_archaeology,"A (wood identifications of excavated artefacts, analysis by V. E. Vikhrov, n=909) / B (forest composition statements)","Колчин Б. А. Новгородские древности. Деревянные изделия. САИ Е1-55. М.: Наука, 1968. Гл. 1: Леса Новгородской земли; Породы древесины (с. 11-13, табл. I на с. 12); Берестяная и плетёная посуда (с. 49-50)",file:C:/Users/Slaven/Downloads/Е1-55_Колчин_дерев_1968.pdf,"PDF page index = printed page + 1 (p.11 -> idx 12, табл. I p.12 -> idx 13, p.13 -> idx 14, p.49 -> idx 50). Read visually by the collector 2026-09-26 (scan without text layer)."
src_brisbane_hather_2007,scholarly_monograph_archaeology,B,"Brisbane M., Hather J. (eds.) Wood Use in Medieval Novgorod. Oxford: Oxbow, 2007 (search-snippet only: list of species growing in the Novgorod Lands incl. elm, oak, maple, birch, aspen, willow, alder, ash, lime, hazel, rowan, apple, pear, bird-cherry, spindletree, spruce, pine, juniper)",https://www.academia.edu/5126789/M_Brisbane_and_J_Hather_eds_Wood_Use_in_Medieval_Novgorod,Full text not opened (HTTP 403); used only as corroboration of src_kolchin_1968 species list.
src_serezhnikova_2024,peer_reviewed_archaeobotany,A,"Сережникова Д. С., Сергеев А. Ю., Олейников О. М., Половинчук В. Д. Ягодные и плодовые растения в питании новгородцев (раскопки на Борковской улице 2023 г.) // Российская археология. 2024. № 4 (mid-13th c. cesspit)",https://doi.org/10.31857/S0869606324040101,"Via MASTER food_system sources.csv FSRC001 and ingredients.csv ING0067 (rowan, A), ING0072 (small-fruited apples, B)."
src_nbcrs_novgorod_flora,regional_nature_overview,"C (popular regional overview, modern)","Флора. Новгородская область — портал nbcrs.org: зона тайги и смешанных лесов; примесь дуба, липы, клёна, вяза, ясеня; «небольшие рощи из дуба и липы»; подлесок: крушина, жимолость, орешник, волчье лыко",https://nbcrs.org/regions/novgorodskaya-oblast/flora,Opened 2026-09-26 via WebFetch.
src_valdaypark_flora,protected_area_official,"B (modern Valdai, Novgorod Oblast)","ФГБУ Национальный парк «Валдайский». Растительный мир (ельники 34,9 %, сосняки 18,3 % лесов парка; заболоченные сосняки и березняки на сфагновых болотах; дубравы; осинники, сероольшаники)",https://www.valdaypark.ru/flora,Also cited in main WK research population-wild-flora-modern.md S2.
src_valdaypark_nature,protected_area_official,"B (modern Valdai, Novgorod Oblast)","ФГБУ Национальный парк «Валдайский». Природа: «еловые, сосновые и берёзовые леса, северные дубравы с лещиной»",https://www.valdaypark.ru/nature,"Distinct page from src_valdaypark_flora (/flora); cited in main WK research population-wild-flora-modern.md §19-23 for the hazel-oak-grove claim. Added 2026-09-26 per verifier note (VERIFICATION.md §sources.csv item 4): the /flora page does not mention hazel, only /nature does."
src_priroda_novgorod_climate,regional_climate_overview,C,"Природа России: Новгородская область, климат («вегетация начинается обычно в начале мая»; вегетационный период 120-130 дней; январь -7 °C, июль 16 °C)",https://www.priroda.ru/regions/climate/detail.php?SECTION_ID=&FO_ID=579&ID=7019,Modern climate; used only to place leaf-out in the spring season.
src_wiki_pinus_sylvestris,encyclopedia,B,Сосна обыкновенная — Википедия,https://ru.wikipedia.org/wiki/Сосна_обыкновенная,
src_wiki_picea_abies,encyclopedia,B,Ель европейская — Википедия,https://ru.wikipedia.org/wiki/Ель_европейская,
src_wiki_betula_pendula,encyclopedia,B,Берёза повислая — Википедия,https://ru.wikipedia.org/wiki/Берёза_повислая,
src_wiki_betula_pubescens,encyclopedia,B,Берёза пушистая — Википедия,https://ru.wikipedia.org/wiki/Берёза_пушистая,
src_wiki_populus_tremula,encyclopedia,B,Осина — Википедия,https://ru.wikipedia.org/wiki/Осина,
src_wiki_alnus_glutinosa,encyclopedia,B,Ольха чёрная — Википедия,https://ru.wikipedia.org/wiki/Ольха_чёрная,
src_wiki_alnus_incana,encyclopedia,B,Ольха серая — Википедия,https://ru.wikipedia.org/wiki/Ольха_серая,
src_wiki_tilia_cordata,encyclopedia,B,Липа сердцевидная — Википедия,https://ru.wikipedia.org/wiki/Липа_сердцевидная,
src_wiki_quercus_robur,encyclopedia,B,Дуб черешчатый — Википедия,https://ru.wikipedia.org/wiki/Дуб_черешчатый,
src_wiki_fraxinus_excelsior,encyclopedia,B,Ясень обыкновенный — Википедия,https://ru.wikipedia.org/wiki/Ясень_обыкновенный,
