occupation_id,occupation_title,tl_id,carry_kind,work_location_note_ru,confidence,source_refs,status,note
nov_occ_princely_service_agent,княжий служилый человек,tl_knife_utility,carried,,C,claim:population-bark-cut;src:kolchin1957-city,candidate,Оружие — в weapons_armour; здесь только бытовые орудия.
nov_occ_princely_service_agent,княжий служилый человек,tl_whetstone,carried,,C,claim:stone-whetstone-edge-maintenance,candidate,Оружие — в weapons_armour; здесь только бытовые орудия.
nov_occ_princely_service_agent,княжий служилый человек,tl_firesteel,carried,,C,claim:casting-firesteel-steel;claim:ha-firesteel-ignition,candidate,Оружие — в weapons_armour; здесь только бытовые орудия.
nov_occ_druzhina_warrior,дружинник,tl_knife_utility,carried,,C,claim:population-bark-cut;src:kolchin1957-city,candidate,
nov_occ_druzhina_warrior,дружинник,tl_whetstone,carried,,C,claim:stone-whetstone-edge-maintenance,candidate,
nov_occ_druzhina_warrior,дружинник,tl_firesteel,carried,,C,claim:casting-firesteel-steel;claim:ha-firesteel-ignition,candidate,
nov_occ_druzhina_warrior,дружинник,tl_axe_household,workplace,,C,claim:population-woodwork-axe,candidate,
nov_occ_junior_retainer,младший дружинный слуга,tl_knife_utility,carried,,C,claim:population-bark-cut;src:kolchin1957-city,candidate,
nov_occ_junior_retainer,младший дружинный слуга,tl_firesteel,carried,,C,claim:casting-firesteel-steel;claim:ha-firesteel-ignition,candidate,
nov_occ_junior_retainer,младший дружинный слуга,tl_axe_household,workplace,,C,claim:population-woodwork-axe,candidate,
nov_occ_junior_retainer,младший дружинный слуга,tl_rope_coil,workplace,,C,claim:population-processes-hemp-cordage,candidate,
nov_occ_gate_guard,страж ворот,tl_knife_utility,carried,,C,claim:population-bark-cut;src:kolchin1957-city,candidate,
nov_occ_gate_guard,страж ворот,tl_firesteel,carried,,C,claim:casting-firesteel-steel;claim:ha-firesteel-ignition,candidate,
nov_occ_gate_guard,страж ворот,tl_keys,carried,,C,src:v5-item-templates;src:kolchin1957-city,candidate,
nov_occ_market_guard,страж торга,tl_knife_utility,carried,,C,claim:population-bark-cut;src:kolchin1957-city,candidate,
nov_occ_market_guard,страж торга,tl_firesteel,carried,,C,claim:casting-firesteel-steel;claim:ha-firesteel-ignition,candidate,
nov_occ_market_guard,страж торга,tl_staff,workplace,,C,src:occupations-v1,candidate,
nov_occ_crossing_guard,сторож брода или переправы,tl_knife_utility,carried,работает у брода или переправы,C,claim:population-bark-cut;src:kolchin1957-city,candidate,
nov_occ_crossing_guard,сторож брода или переправы,tl_firesteel,carried,работает у брода или переправы,C,claim:casting-firesteel-steel;claim:ha-firesteel-ignition,candidate,
nov_occ_crossing_guard,сторож брода или переправы,tl_boat_pole,workplace,работает у брода или переправы,C,src:occupations-v1,candidate,
nov_occ_crossing_guard,сторож брода или переправы,tl_rope_coil,workplace,работает у брода или переправы,C,claim:population-processes-hemp-cordage,candidate,
nov_occ_crossing_guard,сторож брода или переправы,tl_axe_household,workplace,работает у брода или переправы,C,claim:population-woodwork-axe,candidate,
nov_occ_toll_dues_collector,сборщик пошлины,tl_knife_utility,carried,,C,claim:population-bark-cut;src:kolchin1957-city,candidate,"Весы — те же малые равноплечие, что у ювелира и торговца."
nov_occ_toll_dues_collector,сборщик пошлины,tl_tally_stick,carried,,C,src:occupations-v1;src:kolchin1968-wood,candidate,"Весы — те же малые равноплечие, что у ювелира и торговца."
nov_occ_toll_dues_collector,сборщик пошлины,tl_jeweler_scales,workplace,,C,claim:trade-economy-balance-scale-repeatability-depends-on-components-condition-and-repeated-comparison-not-unknown-standard;src:matcult-catalog-v1,candidate,"Весы — те же малые равноплечие, что у ювелира и торговца."
nov_occ_toll_dues_collector,сборщик пошлины,tl_keys,workplace,,C,src:v5-item-templates;src:kolchin1957-city,candidate,"Весы — те же малые равноплечие, что у ювелира и торговца."
nov_occ_court_clerk_service,писцовый служитель двора власти,tl_stylus,carried,,B,claim:residual-v1-birch-writing-used-styli-on-inner-surface;src:v5-item-templates,candidate,
nov_occ_court_clerk_service,писцовый служитель двора власти,tl_knife_utility,carried,,B,claim:population-bark-cut;src:kolchin1957-city,candidate,
nov_occ_court_clerk_service,писцовый служитель двора власти,tl_wax_tablet,workplace,,B,claim:candidate-novgorod-psalter-eleventh-century,candidate,
nov_occ_court_clerk_service,писцовый служитель двора власти,tl_tally_stick,workplace,,B,src:occupations-v1;src:kolchin1968-wood,candidate,
nov_occ_court_clerk_service,писцовый служитель двора власти,tl_keys,workplace,,B,src:v5-item-templates;src:kolchin1957-city,candidate,
nov_occ_posadnik_household_service,служитель посадничьего двора,tl_knife_utility,carried,,C,claim:population-bark-cut;src:kolchin1957-city,candidate,"Буллотирий — у владельца печати, а не у слуги."
nov_occ_posadnik_household_service,служитель посадничьего двора,tl_keys,carried,,C,src:v5-item-templates;src:kolchin1957-city,candidate,"Буллотирий — у владельца печати, а не у слуги."
nov_occ_posadnik_household_service,служитель посадничьего двора,tl_tally_stick,workplace,,C,src:occupations-v1;src:kolchin1968-wood,candidate,"Буллотирий — у владельца печати, а не у слуги."
nov_occ_tysyatsky_public_order,люди тысяцкого при порядке,tl_knife_utility,carried,,C,claim:population-bark-cut;src:kolchin1957-city,candidate,
nov_occ_tysyatsky_public_order,люди тысяцкого при порядке,tl_firesteel,carried,,C,claim:casting-firesteel-steel;claim:ha-firesteel-ignition,candidate,
nov_occ_tysyatsky_public_order,люди тысяцкого при порядке,tl_staff,workplace,,C,src:occupations-v1,candidate,
nov_occ_tysyatsky_public_order,люди тысяцкого при порядке,tl_keys,workplace,,C,src:v5-item-templates;src:kolchin1957-city,candidate,
nov_occ_bishop_court_service,владычный дворцовый служитель,tl_knife_utility,carried,,C,claim:population-bark-cut;src:kolchin1957-city,candidate,
nov_occ_bishop_court_service,владычный дворцовый служитель,tl_keys,carried,,C,src:v5-item-templates;src:kolchin1957-city,candidate,
nov_occ_bishop_court_service,владычный дворцовый служитель,tl_stylus,workplace,,C,claim:residual-v1-birch-writing-used-styli-on-inner-surface;src:v5-item-templates,candidate,
nov_occ_bishop_court_service,владычный дворцовый служитель,tl_wax_tablet,workplace,,C,claim:candidate-novgorod-psalter-eleventh-century,candidate,
nov_occ_boyar_yard_manager,управляющий боярским двором,tl_knife_utility,carried,,C,claim:population-bark-cut;src:kolchin1957-city,candidate,
nov_occ_boyar_yard_manager,управляющий боярским двором,tl_keys,carried,,C,src:v5-item-templates;src:kolchin1957-city,candidate,
nov_occ_boyar_yard_manager,управляющий боярским двором,tl_tally_stick,carried,,C,src:occupations-v1;src:kolchin1968-wood,candidate,
nov_occ_boyar_yard_manager,управляющий боярским двором,tl_jeweler_scales,workplace,,C,claim:trade-economy-balance-scale-repeatability-depends-on-components-condition-and-repeated-comparison-not-unknown-standard;src:matcult-catalog-v1,candidate,
nov_occ_long_distance_merchant,дальний купец,tl_knife_utility,carried,,B,claim:population-bark-cut;src:kolchin1957-city,candidate,Складные весы — массовая находка торговцев.
nov_occ_long_distance_merchant,дальний купец,tl_jeweler_scales,carried,,B,claim:trade-economy-balance-scale-repeatability-depends-on-components-condition-and-repeated-comparison-not-unknown-standard;src:matcult-catalog-v1,candidate,Складные весы — массовая находка торговцев.
nov_occ_long_distance_merchant,дальний купец,tl_tally_stick,carried,,B,src:occupations-v1;src:kolchin1968-wood,candidate,Складные весы — массовая находка торговцев.
nov_occ_long_distance_merchant,дальний купец,tl_rope_coil,workplace,,B,claim:population-processes-hemp-cordage,candidate,Складные весы — массовая находка торговцев.
nov_occ_long_distance_merchant,дальний купец,tl_sack,workplace,,B,src:matcult-catalog-v1,candidate,Складные весы — массовая находка торговцев.
nov_occ_long_distance_merchant,дальний купец,tl_keys,workplace,,B,src:v5-item-templates;src:kolchin1957-city,candidate,Складные весы — массовая находка торговцев.
nov_occ_local_trader,местный торговец,tl_knife_utility,carried,,C,claim:population-bark-cut;src:kolchin1957-city,candidate,
nov_occ_local_trader,местный торговец,tl_jeweler_scales,carried,,C,claim:trade-economy-balance-scale-repeatability-depends-on-components-condition-and-repeated-comparison-not-unknown-standard;src:matcult-catalog-v1,candidate,
nov_occ_local_trader,местный торговец,tl_sack,workplace,,C,src:matcult-catalog-v1,candidate,
nov_occ_local_trader,местный торговец,tl_rope_coil,workplace,,C,claim:population-processes-hemp-cordage,candidate,
nov_occ_market_stall_seller,лавочный продавец,tl_knife_utility,carried,,C,claim:population-bark-cut;src:kolchin1957-city,candidate,
nov_occ_market_stall_seller,лавочный продавец,tl_jeweler_scales,carried,,C,claim:trade-economy-balance-scale-repeatability-depends-on-components-condition-and-repeated-comparison-not-unknown-standard;src:matcult-catalog-v1,candidate,
nov_occ_market_stall_seller,лавочный продавец,tl_sack,workplace,,C,src:matcult-catalog-v1,candidate,
nov_occ_market_stall_seller,лавочный продавец,tl_keys,workplace,,C,src:v5-item-templates;src:kolchin1957-city,candidate,
nov_occ_merchant_clerk,купеческий доверенный,tl_stylus,carried,,C,claim:residual-v1-birch-writing-used-styli-on-inner-surface;src:v5-item-templates,candidate,
nov_occ_merchant_clerk,купеческий доверенный,tl_tally_stick,carried,,C,src:occupations-v1;src:kolchin1968-wood,candidate,
nov_occ_merchant_clerk,купеческий доверенный,tl_knife_utility,carried,,C,claim:population-bark-cut;src:kolchin1957-city,candidate,
nov_occ_merchant_clerk,купеческий доверенный,tl_jeweler_scales,workplace,,C,claim:trade-economy-balance-scale-repeatability-depends-on-components-condition-and-repeated-comparison-not-unknown-standard;src:matcult-catalog-v1,candidate,
